timestamp,player_num,champion
20180623 153544,5,Fernando
20180623 153544,6,Strix
20180623 153544,7,Willo
20180623 153544,8,Makoa
20180623 153544,9,Evie
20180623 154812,0,Cassie
20180623 154812,1,Fernando
20180623 154812,2,Jenos
20180623 154812,3,Maeve
20180623 154812,4,Lian
20180623 154812,5,Khan
20180623 154812,6,Skye
20180623 154812,7,Androxus
20180623 154812,8,Sha Lin
20180623 154812,9,Evie
20180623 160207,0,Maeve
20180623 160207,1,Bomb King
20180623 160207,2,Furia
20180623 160207,3,Skye
20180623 160207,4,Cassie
20180623 160207,5,Makoa
20180623 160207,6,Furia
20180623 160207,7,Talus
20180623 160207,8,Viktor
20180623 160207,9,Bomb King
20180623 161842,0,Zhin
20180623 161842,1,Furia
20180623 161842,2,Cassie
20180623 161842,3,Lian
20180623 161842,4,Fernando
20180623 161842,5,Maeve
20180623 161842,6,Jenos
20180623 161842,7,Sha Lin
20180623 161842,8,Makoa
20180623 161842,9,Lian
20180623 163141,0,Moji
20180623 163141,1,Viktor
20180623 163141,2,Furia
20180623 163141,3,Makoa
20180623 163141,4,Cassie
20180623 163141,5,Lex
20180623 163141,6,Inara
20180623 163141,7,Makoa
20180623 163141,8,Pip
20180623 163141,9,Androxus
20180623 194134,0,Androxus
20180623 194134,1,Furia
20180623 194134,2,Ruckus
20180623 194134,3,Sha Lin
20180623 194134,4,Cassie
20180623 194134,5,Lex
20180623 194134,6,Viktor
20180623 194134,7,Willo
20180623 194134,8,Terminus
20180623 194134,9,Evie
20180623 195547,0,Furia
20180623 195547,1,Maeve
20180623 195547,2,Makoa
20180623 195547,3,Willo
20180623 195547,4,Cassie
20180623 195547,5,Grohk
20180623 195547,6,Maeve
20180623 195547,7,Inara
20180623 195547,8,Lian
20180623 195547,9,Lian
20180623 201446,0,Cassie
20180623 201446,1,Inara
20180623 201446,2,Bomb King
20180623 201446,3,Ying
20180623 201446,4,Zhin
20180623 201446,5,Mal'Damba
20180623 201446,6,Androxus
20180623 201446,7,Khan
20180623 201446,8,Viktor
20180623 201446,9,Lian
20180623 202612,0,Seris
20180623 202612,1,Maeve
20180623 202612,2,Ruckus
20180623 202612,3,Kinessa
20180623 202612,4,Drogoz
20180623 202612,5,Tyra
20180623 202612,6,Jenos
20180623 202612,7,Cassie
20180623 202612,8,Barik
20180623 202612,9,Maeve
20180623 204057,0,Skye
20180623 204057,1,Jenos
20180623 204057,2,Makoa
20180623 204057,3,Maeve
20180623 204057,4,Vivian
20180623 204057,5,Seris
20180623 204057,6,Terminus
20180623 204057,7,Cassie
20180623 204057,8,Lex
20180623 204057,9,Evie
20180623 205301,0,Torvald
20180623 205301,1,Kinessa
20180623 205301,2,Ying
20180623 205301,3,Cassie
20180623 205301,4,Khan
20180623 205301,5,Strix
20180623 205301,6,Skye
20180623 205301,7,Ying
20180623 205301,8,Lex
20180623 205301,9,Evie
20180623 210545,0,Inara
20180623 210545,1,Grohk
20180623 210545,2,Cassie
20180623 210545,3,Furia
20180623 210545,4,Zhin
20180623 210545,5,Khan
20180623 210545,6,Inara
20180623 210545,7,Mal'Damba
20180623 210545,8,Bomb King
20180623 210545,9,Pip
20180623 211813,0,Grover
20180623 211813,1,Drogoz
20180623 211813,2,Buck
20180623 211813,3,Cassie
20180623 211813,4,Torvald
20180623 211813,5,Khan
20180623 211813,6,Evie
20180623 211813,7,Ying
20180623 211813,8,Viktor
20180623 211813,9,Maeve
20180623 231512,0,Moji
20180623 231512,1,Inara
20180623 231512,2,Jenos
20180623 231512,3,Lian
20180623 231512,4,Pip
20180623 231512,5,Grover
20180623 231512,6,Lex
20180623 231512,7,Cassie
20180623 231512,8,Seris
20180623 231512,9,Grohk
20180623 233404,0,Ash
20180623 233404,1,Strix
20180623 233404,2,Jenos
20180623 233404,3,Lian
20180623 233404,4,Buck
20180623 233404,5,Strix
20180623 233404,6,Talus
20180623 233404,7,Ruckus
20180623 233404,8,Bomb King
20180623 233404,9,Furia
20180623 234710,0,Ruckus
20180623 234710,1,Inara
20180623 234710,2,Jenos
20180623 234710,3,Lian
20180623 234710,4,Pip
20180623 234710,5,Moji
20180623 234710,6,Androxus
20180623 234710,7,Furia
20180623 234710,8,Khan
20180623 234710,9,Kinessa
20180624 000016,0,Lian
20180624 000016,1,Jenos
20180624 000016,2,Viktor
20180624 000016,3,Pip
20180624 000016,4,Maeve
20180624 000016,5,Khan
20180624 000016,6,Ying
20180624 000016,7,Jenos
20180624 000016,8,Buck
20180624 000016,9,Cassie
20180624 002202,0,Lian
20180624 002202,1,Seris
20180624 002202,2,Cassie
20180624 002202,3,Inara
20180624 002202,4,Pip
20180624 002202,5,Sha Lin
20180624 002202,6,Talus
20180624 002202,7,Inara
20180624 002202,8,Furia
20180624 002202,9,Tyra
20180624 003825,0,Cassie
20180624 003825,1,Tyra
20180624 003825,2,Lian
20180624 003825,3,Khan
20180624 003825,4,Seris
20180624 003825,5,Viktor
20180624 003825,6,Terminus
20180624 003825,7,Maeve
20180624 003825,8,Seris
20180624 003825,9,Strix
20180624 005202,0,Jenos
20180624 005202,1,Drogoz
20180624 005202,2,Khan
20180624 005202,3,Lian
