timestamp,metric,value,outcome,details
20180622 160110,healing0,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing1,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing2,"3,637",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing3,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing4,"64,193",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing5,"29,932",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing6,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing7,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing8,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,healing9,"1,560",VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda0,9/5/7,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda1,13/4/12,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda2,5/5/5,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda3,9/4/12,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda4,2/3/23,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda5,5/6/4,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda6,7/8/7,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda7,2/7/3,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda8,5/10/5,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,kda9,2/7/0,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name0,MeisterOfKill,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name1,rampje,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name2,B74ckSh4dOw,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name3,Onelonel2,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name4,Vicieuxx,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name5,bubberduce,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name6,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name7,xISAYx,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name8,Mortaxz,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,name9,Bigcupp,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective0,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective1,105,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective2,222,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective3,39,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective4,77,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective5,12,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective6,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
20180622 160110,objective7,,VICTORY,SPLITSTONE QUARRY / SIEGE / 10:29 / ID 25079479
