timestamp,outcome,map,gametype,time,match_id,id,player_num,team,credit,damage,healing,kills,deaths,assists,name,objective,shielding,streak
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,1,blue,"2,078",54000,NA,7,9,1,rampje,19,NA,NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,2,blue,"1,979",25219,53615,1,5,7,SkiaDraco,57,NA,NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,3,blue,"2,149",15807,NA,3,9,2,Aldarant,151,"14,440",NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,4,blue,1363,2538,NA,NA,6,2,DarkAngel61,54,NA,NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,5,red,"2,196",31256,NA,1,4,12,SteadySlaying,80,"30,612",NA
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,6,red,"2,502",49329,NA,4,1,19,CherrySammy,78,NA,23
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,7,red,"2,769",27847,46244,4,1,23,W KingPorky,122,"33,271",27
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,8,red,2.469,37005,NA,12,6,7,SmiakA,80,NA,12
2018-06-22T18:45:55Z,DEFEAT,JAGUAR FALLS,SIEGE,10:59,ID 250838907,7,9,red,"3,041",76882,NA,19,4,10,NA,A4,NA,12
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,0,blue,"3,647",46350,NA,4,14,6,rambol3,302,"87,917",NA
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,1,blue,"3,765",43110,77226,6,15,27,Noblenote,103,NA,NA
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,2,blue,"4,233",50809,NA,9,13,18,Lucashs,30,NA,13
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,3,blue,"4,132",111346,NA,20,19,16,rampje,63,NA,11
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,4,blue,"3,662",76299,NA,17,16,1,Stonerman69,74,NA,NA
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,5,red,"3,013",39972,NA,5,10,21,FAKERGAMING,99,NA,14
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,6,red,"3,724",61480,NA,5,10,21,danifer49,240,"68,445",16
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,7,red,"4,334",95890,NA,23,1,21,SilverWolf8,72,NA,22
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,8,red,"4,002",55442,97564,7,1,32,CathyJustCathy,120,"12,972",20
2018-06-22T19:18:41Z,DEFEAT,BRIGHTMARSH,SIEGE,16.51,ID 250844944,8,9,red,"4,919",122422,NA,37,14,15,NA,31,NA,10
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,0,blue,"3,014",22823,59029,6,9,25,Whippity,50,NA,NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,1,blue,"2,926",44856,NA,12,16,1,Froggerbobber99,60,NA,NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,2,blue,3432,64829,NA,10,10,1,lamShqdows,121,"118,504",NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,3,blue,2402,36632,NA,9,12,5,ihasbadname,NA,NA,NA
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,4,blue,"3,775",113308,NA,23,12,12,rampje,72,NA,11
2018-06-22T20:28:10Z,VICTORY,STONE KEEP,SIEGE,15:36,ID 250859436,9,5,red,3.1,76023,NA,10,13,9,LeCoyote34,49,NA,NA
